tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,question_id,content_license,link,title,body,title_len,body_len,title_clean,body_clean
"['autodesk', 'autodesk-forge', 'autodesk-viewer', 'autodesk-data-management']","{'reputation': 2545, 'user_id': 1762493, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/pEEmF.jpg?s=128&g=1', 'display_name': 'Mikeumus', 'link': 'https://stackoverflow.com/users/1762493/mikeumus'}",True,305,38339827.0,4,3,2019-06-20 14:10:42,2016-07-12 22:19:23,38339769,CC BY-SA 3.0,https://stackoverflow.com/questions/38339769/how-to-share-buckets-in-the-autodesk-data-management-api,How to share buckets in the Autodesk Data Management API?,How might one share access to their Autodesk bucket to enable other users to view and collaborate on their uploaded models? If the Autodesk Forge Data Management API supports sharing of bucket access or something similar it was clear to me in the docs here: Maybe I'm just looking in the wrong place.,57,472,share bucket autodesk datum management api,might one share access autodesk bucket enable user view collaborate uploaded model autodesk forge datum management api support share bucket access something similar clear doc maybe look wrong place
"['three.js', 'autodesk-forge', 'autodesk-viewer', 'csg', 'threecsg']","{'reputation': 4733, 'user_id': 4279201, 'user_type': 'registered', 'accept_rate': 99, 'profile_image': 'https://www.gravatar.com/avatar/cff52351d37f559a2f8886ccf441cdb7?s=128&d=identicon&r=PG&f=1', 'display_name': 'shinzou', 'link': 'https://stackoverflow.com/users/4279201/shinzou'}",True,5733,44415211.0,1,3,2017-06-07 14:15:54,2017-06-07 11:09:03,44411001,CC BY-SA 3.0,https://stackoverflow.com/questions/44411001/3d-boolean-operations-with-three-csg,3D Boolean operations with Three CSG,"Following the example here: And using Three.js with , I'm trying to do 3D boolean operations on nodes from the model. Like for example if I have a wall with a window, I want to do on that to get just the window. I have a function that returns all the vertices of the polygons of a node, here's an example of vertices of an object without holes . I'm using ThreeCSG like this: But that's what I'm getting in : I think it's because . How can I make the vertices array to be a proper such that the faces won't be empty? doesn't work... Is there an example that uses polygons of a shape as an array of Vector3s and transforms that to csg?",36,2144,  boolean operation three csg,follow example use threejs try   boolean operation node model like example wall window want get window function return vertex polygon node heres example vertex object without hole use threecsg like that s getting think make vertex array proper face will not empty do not work example use polygon shape array   transform csg
"['javascript', 'autodesk', 'autodesk-forge', 'autodesk-viewer']","{'reputation': 367, 'user_id': 6635227, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/csWh2.png?s=128&g=1', 'display_name': 'Mike', 'link': 'https://stackoverflow.com/users/6635227/mike'}",True,349,38571876.0,1,3,2016-07-25 19:49:01,2016-07-25 14:22:02,38570320,CC BY-SA 3.0,https://stackoverflow.com/questions/38570320/how-to-set-performance-and-appearance-settings-in-autodesk-viewer,How to set performance and appearance settings in Autodesk Viewer?,"I have been having trouble using JavaScript to preset performance and appearance settings for the viewer. 
I wanted to pre-define some of the settings like anti-aliasing, and shadows to be off on load. I am new to this API and basically couldn't figure out how to instantiate the Viewer3D object. finally I figured out the answer and posted it below.",66,384,set performance appearance setting autodesk viewer,trouble use javascript preset performance appearance setting viewer want predefine setting like antialiase shadow load new api basically could not figure instantiate   object finally figure answer post
"['reactjs', 'autodesk-forge']","{'reputation': 41, 'user_id': 11589538, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/216bab009ec11cf67f5019bf103ab245?s=128&d=identicon&r=PG', 'display_name': 'Cesare Caoduro', 'link': 'https://stackoverflow.com/users/11589538/cesare-caoduro'}",True,990,,2,3,2020-01-30 18:01:05,2020-01-30 10:56:40,59984409,CC BY-SA 4.0,https://stackoverflow.com/questions/59984409/autodesk-forge-viewer-and-react-components,Autodesk Forge Viewer and React components,"I am trying to embed a Forge Viewer in a React Component. There is an example on the GitHub but it is not quite working for me. It seems there are some missing elements. 
Is there a way we can get a step by step implementation of the viewer in React? This is my only missing object at the moment. I have already fetched the model from a bucket, converted it into svf and fetched a urn to be passed to the viewer. 
Any help out there, possibly without using redux?",42,479,autodesk forge viewer react component,try embe forge viewer react component example github quite work seem missing element way get step step implementation viewer react miss object moment already fetch model bucket convert svf fetched urn pass view help possibly without use redux
"['autodesk-forge', 'autodesk-viewer', 'autodesk', 'forge']","{'reputation': 120, 'user_id': 11127110, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a694e3d78c8f90f91de88cc83780c55f?s=128&d=identicon&r=PG&f=1', 'display_name': 'Connor Whalen', 'link': 'https://stackoverflow.com/users/11127110/connor-whalen'}",True,177,57487673.0,1,3,2019-08-14 03:04:38,2019-08-13 16:42:37,57482073,CC BY-SA 4.0,https://stackoverflow.com/questions/57482073/how-to-make-autodesk-viewer-orthographic-by-default,How to Make Autodesk Viewer Orthographic by Default,"I am trying to make the autodesk viewer display files in orthographic mode by default. So far the best solution i've come up with is the following: This sets home to orthographic and sets the current view to orthographic which is exactly what i'm looking for. The only issue i have is that waiting on the means that larger models will load in perspective and then snap to orthographic when all of the geometry is loaded, which can be jarring for users. Is there a way to get the viewer to initialize in orthographic sooner so that it doesn't do this? I've tried waiting on a few other events as well as running immediately with no event listener and usually it fails to get picked up.",51,1206,make autodesk viewer orthographic default,try make autodesk viewer display file orthographic mode default far good solution I ve come follow set home orthographic set current view orthographic exactly look issue wait mean large model load perspective snap orthographic geometry load jarring user way get viewer initialize orthographic soon do not I ve try wait event well run immediately event listener usually fail get pick
"['autodesk-forge', 'autodesk-viewer', 'autodesk', 'forge']","{'reputation': 120, 'user_id': 11127110, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a694e3d78c8f90f91de88cc83780c55f?s=128&d=identicon&r=PG&f=1', 'display_name': 'Connor Whalen', 'link': 'https://stackoverflow.com/users/11127110/connor-whalen'}",True,118,54918195.0,1,3,2019-02-28 03:59:46,2019-02-27 19:49:36,54913404,CC BY-SA 4.0,https://stackoverflow.com/questions/54913404/how-to-get-autodesk-viewer-layermanager-to-restorestate-properly,How to get Autodesk Viewer LayerManager to RestoreState properly,"I've encountered a bug in the Autodesk Viewer LayerManager extension that breaks the restoreState functionality. I am saving the state of a multilayer DWG file using getState and re-applying that state using restoreState. When i restore state, most or all of the layers are hidden, even if they weren't when i saved the state. It looks like this is an issue with how the state is being saved and interpreted. I dug into the state JSON and found the list of visible layers ( ) in this form: After some experimenting i found out that the LayerManager is expecting either the integer indices of the layers or the string names of the layers. Something like: or (assuming those are the names of each layer) So the current implementation breaks because it looks for layers with the names ""0"", ""1"", ""2"", etc. no matter what the actual layer names are. I am wondering if there is a way to fix or work around this. A temporary solution is to parse the state JSON and cast the layer numbers to integers but that is a bit of a hack.",64,1290,get autodesk viewer layermanager restorestate properly,I ve encounter bug autodesk viewer layermanager extension break restorestate functionality save state multilayer dwg file use getstate reapplye state use restorestate restore state layer hide even be not save state look like issue state save interpret dig state json find list visible layer form experiment find layermanager expect either integer index layer stre name layer something like assume name layer current implementation break look layer name     etc matter actual layer name wonder way fix work around temporary solution parse state json cast layer number integer bit hack
['autodesk-forge'],"{'reputation': 449, 'user_id': 1116933, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0a304bee4e4369b99b0df41aa1c43e9b?s=128&d=identicon&r=PG', 'display_name': 'user1116933', 'link': 'https://stackoverflow.com/users/1116933/user1116933'}",True,2311,38906226.0,1,3,2017-08-14 14:48:24,2016-08-11 20:24:00,38905492,,https://stackoverflow.com/questions/38905492/svf-file-format-spec-or-processing-library,SVF file format spec or processing library,"Does Autodesk provide a specification or library for working with SVF files output by the Forge API? If so, where can I find it?",42,136,svf file format spec processing library,autodesk provide specification library work svf file output forge api find
"['autodesk-forge', 'viewer', 'markup-extensions']","{'reputation': 29, 'user_id': 13259490, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GivTAlvWwCh2_gvncHez6BXO4liXWVVCHWzpYhW=k-s128', 'display_name': 'Thailand BIM User', 'link': 'https://stackoverflow.com/users/13259490/thailand-bim-user'}",True,281,,1,3,2020-04-14 04:27:20,2020-04-13 13:27:54,61188938,CC BY-SA 4.0,https://stackoverflow.com/questions/61188938/forge-viewer-markups-latest-version,Forge Viewer Markups latest version,"I created Forge viewer version 7 in my own website. I'm trying to add markups like the one shown in Autodesk website (see picture below); Are there any tutorial for creating markups tool like this? I found some but they are either outdated version or incomplete. Please suggest, thank you.",35,458,forge viewer markup late version,create forge view version   website try add markup like one show autodesk website see picture tutorial create markup tool like find either outdated version incomplete please suggest thank
"['autodesk-forge', 'autodesk-viewer', 'forge', 'autodesk-model-derivative']","{'reputation': 33, 'user_id': 9414024, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-23mfEE-sMD8/AAAAAAAAAAI/AAAAAAAAABo/yE050evRelk/photo.jpg?sz=128', 'display_name': 'Jeremy Andrews', 'link': 'https://stackoverflow.com/users/9414024/jeremy-andrews'}",True,69,52206379.0,1,3,2018-09-06 14:28:35,2018-09-05 18:43:48,52191619,CC BY-SA 4.0,https://stackoverflow.com/questions/52191619/step-file-section-graphical-issue,STEP File Section Graphical Issue,"I am trying to use the sectioning tool on STEP files created in Solidworks and OnShape, and am seeing really thick lines along the edges of the part at the section. I tried the newest viewer release (6.1) and am still experiencing the issue. See the following screenshot: This isn't specific to STEP files, I am also seeing it (to a much lesser extent) with native SLDPRT and Creo files, for example. Wondering if anyone else has experienced this problem, and if there's a way to account for / mitigate it client side?",33,660,step file section graphical issue,try use section tool step file create solidwork onshape see really thick line along edge part section try new viewer release   still experience issue see follow screenshot be not specific step file also see much less extent native sldprt creo file example wonder anyone else experienced problem there s way account mitigate client side
"['autodesk-forge', 'autodesk-viewer']","{'reputation': 45, 'user_id': 9307514, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0dfd42dccdad0f99e5a97322439a176d?s=128&d=identicon&r=PG&f=1', 'display_name': 'Torbjorn', 'link': 'https://stackoverflow.com/users/9307514/torbjorn'}",True,224,48771498.0,2,3,2018-02-13 16:37:09,2018-02-03 00:11:49,48592626,CC BY-SA 3.0,https://stackoverflow.com/questions/48592626/forge-function-generatetexture,Forge function generateTexture(),"In the following example, there is a function called . Is it possible to draw text (numbers) into the pixel array? Or is it possible to draw text (numbers) on top of that shader? Our goal is to draw a circle with a number inside of it. UPDATE: We noticed that each circle can't use a unique . The result is used by every single one of them. The only thing that can be customized per object is the color, plus what texture is used. We could create a workaround for this, which is to generate every texture from 0 to 99, and to then have each object choose the correct texture based on the number we want to display. We don't know if this will be efficient enough to work properly though. Otherwise, it might have to be 0 to 9+ or something in that direction. Any guides on our updated question would be really appreciated. Thanks.",32,1180,forge function generatetexture,follow example function call possible draw text number pixel array possible draw text number top shader goal draw circle number inside update noticed circle can not use unique result use every single one thing customize per object color plus texture use could create workaround generate every texture    object choose correct texture base number want display do not know efficient enough work properly though otherwise might    something direction guide update question would really appreciate thank
"['autodesk-forge', 'revit', 'ifc', 'bim', 'freecad']","{'reputation': 31, 'user_id': 11195292, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-lS4XTQRRsBc/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdY8AoN4kLgVTOnJKoxPBf-2Gg_lw/mo/photo.jpg?sz=128', 'display_name': 'Tandeep singh', 'link': 'https://stackoverflow.com/users/11195292/tandeep-singh'}",True,211,,3,3,2019-03-18 10:50:28,2019-03-13 06:36:03,55135777,CC BY-SA 4.0,https://stackoverflow.com/questions/55135777/are-ifc-entity-type-names-case-sensitive-or-not,Are IFC entity type names case sensitive or not?,Can anybody help in knowing whether IFC entity type names are case sensitive or case insensitive. For example: Can we replace with (camel case) or (small) in an *.ifc file?,48,257,ifc entity type name case sensitive,anybody help know whether ifc entity type name case sensitive case insensitive example replace camel case small ifc file
"['autodesk', 'autodesk-forge', 'autodesk-viewer', 'autodesk-model-derivative']","{'reputation': 2545, 'user_id': 1762493, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://i.stack.imgur.com/pEEmF.jpg?s=128&g=1', 'display_name': 'Mikeumus', 'link': 'https://stackoverflow.com/users/1762493/mikeumus'}",True,545,38001917.0,1,3,2016-06-23 21:09:13,2016-06-23 07:31:47,37984975,CC BY-SA 3.0,https://stackoverflow.com/questions/37984975/svf-post-job-file-conversion-failure,SVF POST job file conversion failure,A friend and I are following the Autodesk Viewer tutorial here: We've both completed all the previous steps except for the very last of using the APIs endpoint to send a base64 encoded off to the Model Derivative API for conversion to a SVF file so that Autodesk's Viewer may use it. This is what I'm using to send the request: and this is the APIs response: Any insights is greatly appreciated.,36,1860,svf post job file conversion failure,friend follow autodesk viewer tutorial we ve complete previous step except last use apis endpoint send   encode model derivative api conversion svf file autodesk viewer may use use send request apis response insight greatly appreciate
